Timestamp,10.04.2023:13:04:14,,,,
Scans in Average,6,,,,
Termination,10000,,,,
V_RMS(V),0.553909913,,,,
V_DC (V),0.546626599,,,,
RMS_Noise %,18.40850752,,,,
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
1090.765,1.58E-12,-118.004303,-112.7026596,0.099980499,18.40760672
1096.725,4.17E-13,-123.8012009,-118.4995651,0.099980499,18.40760673
1102.686,1.75E-12,-117.558403,-112.2567673,0.099980499,18.40760673
1108.646,1.33E-12,-118.7687073,-113.4670715,0.099980499,18.40760674
1114.607,4.53E-13,-123.4400558,-118.1384125,0.099980499,18.40760675
1120.567,4.82E-13,-123.1721649,-117.8705215,0.099980499,18.40760675
1126.528,2.63E-13,-125.8042374,-120.502594,0.099980499,18.40760675
1132.488,3.26E-13,-124.8664551,-119.5648117,0.099980499,18.40760675
1138.449,5.15E-13,-122.8779373,-117.5763016,0.099980499,18.40760676
1144.409,8.41E-13,-120.7517471,-115.4501038,0.099980499,18.40760676
1150.37,9.20E-13,-120.3602066,-115.0585709,0.099980499,18.40760676
1156.33,1.46E-12,-118.3542099,-113.0525665,0.099980499,18.40760677
1162.291,1.51E-12,-118.2127457,-112.9111023,0.099980499,18.40760678
1168.251,6.84E-13,-121.6473312,-116.3456879,0.099980499,18.40760678
1174.212,4.40E-13,-123.5645828,-118.2629471,0.099980499,18.40760679
1180.172,8.18E-13,-120.8716507,-115.5700073,0.099980499,18.40760679
1186.132,2.59E-12,-115.8674774,-110.5658417,0.099980499,18.4076068
1192.093,2.30E-10,-96.37352753,-91.07189178,0.099980503,18.40760744
1198.053,2.23E-09,-86.52085876,-81.21922302,0.09998054,18.40761419
1204.014,1.20E-09,-89.19500732,-83.89337158,0.099980591,18.4076236
1209.974,1.17E-11,-109.303627,-104.0019913,0.099980609,18.40762694
1215.935,9.22E-13,-120.3542099,-115.0525665,0.099980609,18.40762697
1221.895,3.54E-13,-124.5132599,-119.2116165,0.099980609,18.40762698
1227.856,3.50E-13,-124.5590591,-119.2574158,0.099980609,18.40762698
1233.816,2.32E-13,-126.3505402,-121.0489044,0.099980609,18.40762698
1239.777,2.11E-13,-126.7470093,-121.4453659,0.099980609,18.40762698
1245.737,1.62E-13,-127.897377,-122.5957336,0.099980609,18.40762698
1251.698,2.73E-13,-125.6328888,-120.3312454,0.099980609,18.40762698
1257.658,1.34E-12,-118.7436371,-113.4419937,0.099980609,18.40762699
1263.618,4.07E-12,-113.9007416,-108.5990982,0.099980609,18.407627
1269.579,6.07E-12,-112.1714783,-106.8698425,0.099980609,18.40762703
1275.539,5.14E-12,-112.8942947,-107.5926514,0.099980609,18.40762706
1281.5,3.76E-12,-114.2441559,-108.9425125,0.09998061,18.40762709
1287.46,1.26E-12,-118.9826813,-113.6810379,0.09998061,18.4076271
1293.421,1.86E-12,-117.3123322,-112.0106964,0.09998061,18.40762711
1299.381,8.77E-13,-120.5681686,-115.2665253,0.09998061,18.40762712
